Company/Brand,Car Name,Battery Capacity (CC),Horsepower (hp),Top Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
KIA,SPORTAGE GT-LINE,2480,187,200,8,32000,P,5.0,350
KIA,SPORTAGE SX TURBO,1998,240,210,6.7,36000,P,5.0,400
KIA,SPORTAGE NIGHTFALL EDITION,2480,187,200,8,33000,P,5.0,350
HONDA,CIVIC TYPE R,1996,315,272,5.7,44000,P,5.0,400
KIA,SPORTAGE PHEV,2500,261,180,8,41000,,5.0,350
KIA,SPORTAGE 2024(BASE MODEL),2480,187,200,8,26000,P,5.0,250
KIA,SPORTAGE 2024(TOP TRIM),1998,240,210,6.7,38000,P,5.0,400
KIA,SPORTAGE 2024(BASE AWD),2480,187,200,8.3,29000,P,5.0,250
KIA,SPORTAGE X-LINE,2480,187,200,8,32500,P,5.0,350
KIA,SPORTAGE 2024(S TRIM),2480,187,200,8.2,28000,P,5.0,250
HONDA,ACCORD,1498,192,201,7.1,29400,P,5.0,370
KIA,SPORTAGE 2024(HYBRID AWD),2500,227,180,8,37000,H,5.0,350
KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),2500,261,180,7.9,42000,,5.0,350
KIA,SPORTAGE 2024(X-PRO),2480,187,200,8.1,36000,P,5.0,400
KIA,SPORTAGE 2024(X-PRO PRESTIGE),2480,187,200,8.1,38000,P,5.0,400
KIA,SPORTAGE 2024(SX TURBO AWD),1998,240,210,6.5,40000,P,5.0,400
KIA,SPORTAGE 2024(BASE FWD),2480,187,200,8.5,26500,P,5.0,250
HONDA,CR-V,1498,190,186,8.2,30000,H,5.0,400
HONDA,PILOT,3471,285,209,6.3,40000,P,8.0,360
HONDA,CIVIC HATCHBACK,1498,180,220,6.8,26350,P,5.0,300
TOYOTA,CAMRY,3500,301,220,6,27000,H,5.0,250
TOYOTA,COROLLA,1798,139,180,9.4,22500,H,5.0,200
TOYOTA,PRIUS,1798,121,180,10.5,26700,H,5.0,142
TOYOTA,RAV4,2494,203,200,8.1,27100,H,5.0,400
TOYOTA,HIGHLANDER,3456,295,220,7.2,38400,H,7.0,370
TOYOTA,4RUNNER,3956,270,200,7.5,37400,P,5.0,400
TOYOTA,TACOMA,2694,159,180,9.5,26400,P,5.0,400
TOYOTA,TUNDRA,5663,381,220,6.7,39900,P,5.0,650
TOYOTA,AVALON,3456,301,220,6.9,41400,P,5.0,400
TOYOTA,MIRAI,1798,151,180,9.2,52400,HD,5.0,335
TOYOTA,SIENNA,2494,245,190,8,44150,H,7.0,360
TOYOTA,VENZA,2494,219,200,7.5,33400,H,5.0,400
TOYOTA,HIGHLANDER HYBRID,3456,240,220,8.2,40400,H,7.0,350
TOYOTA,LAND CRUISER PRADO,3956,282,200,7.2,49400,P,7.0,450
TOYOTA,TUNDRA HYBRID,3456,344,220,6.2,43400,H,5.0,650
TOYOTA,YARIS,1496,106,180,11.2,18400,P,5.0,150
TOYOTA,C-HR,1986,144,200,10.2,24400,H,5.0,250
TOYOTA,BZ4X,2500,218,200,7.5,43400,E,5.0,330
TOYOTA,CROWN,2494,236,200,7.6,38400,H,5.0,400
TOYOTA,MR2,1986,168,200,6.9,29000,P,2.0,400
TOYOTA,CELICA,1986,140,200,8.5,25000,P,5.0,250
HONDA,CITY,1497,119,180,10.2,15400,H,5.0,145
HONDA,CIVIC,1996,158,200,8.5,20400,P,5.0,400
HYUNDAI,I10,1197,87,160,12.2,12400,P,5.0,120
HYUNDAI,I20,1396,99,180,10.5,15400,H,5.0,250
HYUNDAI,ELANTRA,1999,147,200,9.5,18400,H,5.0,250
MAHINDRA,XUV500,2179,155,180,10.5,18400,D,7.0,400
MAHINDRA,SCORPIO,2179,140,160,11.2,16400,D,7.0,280
MAHINDRA,THAR,1997,150,180,10.5,20400,P,4.0,320
MARUTI SUZUKI,SWIFT,1197,83,160,12.2,10400,P,5.0,113
MARUTI SUZUKI,DZIRE,1197,83,160,12.2,11400,P,5.0,113
MARUTI SUZUKI,BREZZA,1462,103,180,11.5,14400,P,5.0,200
TOYOTA,PRIUS PRIME,1998,220,180,6.7,31100,,5.0,220
