Company/Brand,Car Name,Battery_CC,Battery_kWh,Horsepower (hp),Top Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm),Torque
AUDI,A8,2995,,335,250,5.7,86000,P,5,600,600 Nm
AUDI,S5 COUPE,2995,,349,250,4.8,64000,P,4,500,500 Nm
AUDI,SQ5,2995,,349,250,5.4,62000,P,5,500,500 Nm
AUDI,S4 SEDAN,2995,,349,250,4.7,59000,P,5,500,500 Nm
AUDI,S3 SEDAN,1984,,306,250,4.8,52000,P,5,400,400 Nm
AUDI,Q7,2995,,335,250,6.3,60000,P,7,600,600 Nm
AUDI,Q5,1984,,248,240,6.3,43000,P,5,500,500 Nm
AUDI,A7,2995,,335,250,5.7,68000,P,5,600,600 Nm
AUDI,A6,2995,,335,250,5.7,58000,P,5,600,600 Nm
AUDI,A5 COUPE,1984,,248,240,6.3,45000,P,4,500,500 Nm
AUDI,A4,1984,,248,240,6.5,39000,P,5,400,400 Nm
AUDI,Q3,1984,,248,230,7.3,35000,P,5,400,400 Nm
AUDI,E-TRON,,95,402,200,5.5,75000,E,5,664,664 Nm
AUDI,E-TRON SPORTBACK,,95,402,200,5.5,78000,E,5,664,664 Nm
AUDI,TT COUPE,1984,,248,250,5.3,49000,P,2,400,400 Nm
BMW,I8 ROADSTER,,11.6,369,250,4.4,165000,H,2,570,570 Nm
BMW,330i,1998,,255,250,5.6,45000,P,5,400,400 Nm
BMW,M340i XDRIVE,2998,,382,250,4.1,57000,P,5,500,500 Nm
BMW,430i COUPE,1998,,255,250,5.8,48000,P,4,400,400 Nm
BMW,M4 COMPETITION,2993,,503,290,3.8,81000,P,4,650,650 Nm
BMW,530i,1998,,248,250,5.9,57000,P,5,400,400 Nm
BMW,M550i XDRIVE,4395,,523,250,3.6,78000,P,5,650,650 Nm
BMW,118i,1499,,136,213,8.5,32000,P,5,220,220 Nm
BMW,128ti,1998,,261,250,6.1,42000,P,5,400,400 Nm
BMW,M135i XDRIVE,1998,,302,250,4.8,30000,P,5,450,450 Nm
BMW,116D,1496,,116,200,10.3,30000,D,5,280,280 Nm
BMW,120D XDRIVE,1995,,190,230,6.9,38000,D,5,400,400 Nm
BMW,116i,1499,,109,200,10.9,28000,P,5,200,200 Nm
BMW,118D,1995,,150,216,8.4,34000,D,5,380,380 Nm
BMW,120i,1998,,178,230,7.1,37000,P,5,300,300 Nm
BMW,125i,1998,,224,240,6.1,42000,P,5,400,400 Nm
BMW,114D,1496,,95,185,12.2,27000,D,5,270,270 Nm
BMW,114i,1598,,102,195,11.2,26000,P,5,200,200 Nm
BMW,125D,1995,,224,240,6.3,44000,D,5,400,400 Nm
BMW,118i XDRIVE,1499,,136,211,8.9,34000,P,5,250,250 Nm
BMW,116D EFFICIENTDYNAMICS,1496,,116,200,10.9,30000,D,5,270,270 Nm
BMW,118i SPORTLINE,1499,,136,213,8.5,35000,P,5,250,250 Nm
BMW,118i M SPORT,1499,,136,213,8.5,37000,P,5,250,250 Nm
BMW,120i M SPORT,1998,,178,230,7.1,39000,P,5,300,300 Nm
BMW,116i EFFICIENTDYNAMICS,1598,,109,195,10.9,29000,P,5,200,200 Nm
BMW,116D ADVANTAGE,1496,,116,200,10.5,31000,D,5,270,270 Nm
BMW,120D EFFICIENTDYNAMICS,1995,,163,225,7.7,39000,D,5,400,400 Nm
BMW,118i SHADOW LINE,1499,,136,213,8.5,36000,P,5,250,250 Nm
BMW,118D SPORT LINE,1995,,150,216,8.4,36000,D,5,380,380 Nm
BMW,120i XDRIVE,1998,,178,230,7.2,40000,P,5,300,300 Nm
BMW,114D SPORT LINE,1496,,95,185,12.2,28000,D,5,270,270 Nm
BMW,118i URBAN LINE,1499,,136,213,8.5,35000,P,5,250,250 Nm
VOLVO,XC90,1969,,247,200,6.5,60000,P,7,400,400 Nm
VOLVO,XC60,1969,,247,220,6.4,55000,P,5,400,400 Nm
VOLVO,S90,1969,,295,250,5.9,60000,P,5,400,400 Nm
KIA,SPORTAGE LX,2480,,187,200,8,27000,P,5,250,250 Nm
KIA,SPORTAGE EX,2480,,187,200,8,30000,P,5,250,250 Nm
KIA,SPORTAGE GT-LINE,2480,,187,200,8,32000,P,5,350,350 Nm
KIA,SPORTAGE SX TURBO,1998,,240,210,6.7,36000,P,5,400,400 Nm
KIA,SPORTAGE NIGHTFALL EDITION,2480,,187,200,8,33000,P,5,350,350 Nm
HONDA,CIVIC TYPE R,1996,,315,272,5.7,44000,P,5,400,400 Nm
KIA,SPORTAGE PHEV,1600,13.8,261,180,8,41000,,5,350,350 Nm
KIA,SPORTAGE 2024(BASE MODEL),2480,,187,200,8,26000,P,5,250,250 Nm
KIA,SPORTAGE 2024(TOP TRIM),1998,,240,210,6.7,38000,P,5,400,400 Nm
KIA,SPORTAGE 2024(BASE AWD),2480,,187,200,8.3,29000,P,5,250,250 Nm
KIA,SPORTAGE X-LINE,2480,,187,200,8,32500,P,5,350,350 Nm
KIA,SPORTAGE 2024(S TRIM),2480,,187,200,8.2,28000,P,5,250,250 Nm
HONDA,ACCORD,1498,,192,201,7.1,29400,P,5,370,370 Nm
KIA,SPORTAGE 2024(HYBRID AWD),1600,1.49,227,180,8,37000,H,5,350,350 Nm
KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),1598,13.8,261,180,7.9,42000,,5,350,350 Nm
KIA,SPORTAGE 2024(X-PRO),2480,,187,200,8.1,36000,P,5,400,400 Nm
KIA,SPORTAGE 2024(X-PRO PRESTIGE),2480,,187,200,8.1,38000,P,5,400,400 Nm
KIA,SPORTAGE 2024(SX TURBO AWD),1998,,240,210,6.5,40000,P,5,400,400 Nm
KIA,SPORTAGE 2024(BASE FWD),2480,,187,200,8.5,26500,P,5,250,250 Nm
HONDA,CR-V,1498,,190,186,8.2,30000,H,5,400,400 Nm
HONDA,PILOT,3471,,285,209,6.3,40000,P,8,360,360 Nm
HONDA,CIVIC HATCHBACK,1498,,180,220,6.8,26350,P,5,300,300 Nm
